name,base,response,value,content
ACTBooks,Erp.BO.ACTTypeSvc/ACTBooks,200,Yes,"{""Company"":""157803"",""BookID"":""MAIN"",""Description"":""Main Book"",""BookCurrency"":""USD"",""BOOKType"":""1"",""COAID"":""MAIN"",""ACTRevisionUID"":16471,""ActiveFlag"":0,""DefaultBook"":true,""MapBookID"":"""",""COAMapUID"":0,""UseMapFlag"":false,""ACTTypeUID"":257,""Summarize"":2,""IsDefault"":true,""MapType"":0,""TranCurr"":0,""ABTVer"":""5.1"",""PatchABTVer"":""0.0"",""RulesetVer"":12,""PatchRulesetVer"":0,""Package"":""Standard"",""Modified"":false,""PrevModified"":false,""ManuallyUpdVer"":false,""UpdatePatchVer"":false,""BasePackage"":"""",""LocRulesetVer"":0,""LocPrevRulesetVer"":0,""LocPatchRulesetVer"":0,""LocPrevPatchRulesetVer"":0,""SysRevID"":104567816,""SysRowID"":""ed2f926a-ac96-4bb3-a0bd-5aa675809576"",""EnableCustomization"":true,""PartiallyUpdated"":false,""Loaded"":0,""MapBookCOAID"":"""",""DevelopMode"":false,""DisableBookMapping"":true,""BitFlag"":0,""RowMod"":""""}"
BookingRules,Erp.BO.ACTTypeSvc/BookingRules,200,Yes,"{""RuleUID"":220595,""ACTRevisionUID"":16471,""DisplayName"":""Book Adjustment Amount to Payables and Clearing Accounts"",""DetailedDescription"":""Book Adjustment Amount to Payables and Clearing Accounts"",""SelectionCriteria"":"""",""BookID"":""MAIN"",""ACTTypeUID"":257,""IsPost"":true,""ForEach"":""AP Adjustment"",""Company"":""157803"",""IsHeader"":false,""IsActive"":true,""CreditContext"":"""",""DebitContext"":"""",""RefContext"":"""",""GLControlType"":""AP Transactions"",""IsDefault"":true,""Entity"":""AP Adjustment--Details"",""IsReference"":false,""ManuallyUpdVer"":false,""RuleVer"":3,""PatchRuleVer"":0,""PrevModified"":false,""Modified"":false,""LocVer"":0,""LocPatchVer"":0,""LocModified"":false,""SysRevID"":104567849,""SysRowID"":""b98e1b40-b10c-4d62-872a-cfb8acf3cddf"",""EnableCustomization"":true,""BaseModified"":false,""Customization"":false,""Operator"":"""",""SelCriteriaDisplay"":"""",""Argument"":"""",""DevelopMode"":false,""Loaded"":0,""RuleType"":""Post"",""IsError"":false,""ErrorText"":"""",""BitFlag"":0,""RowMod"":""""}"
BookValRules,Erp.BO.ACTTypeSvc/BookValRules,200,Yes,"{""BVRuleUID"":32470,""VRuleUID"":16,""Description"":""Rule didn't have an ABT line to process"",""Action"":""Ignore"",""VLevel"":""RULE"",""Company"":""157803"",""BookID"":""MAIN"",""ACTTypeUID"":257,""ACTRevisionUID"":16471,""RuleUID"":220595,""SysRowID"":""c51c7cf9-a3ca-4565-94ef-311b7175942e"",""SysRevID"":0,""IsDefault"":true,""ActionList"":""Ignore`Ignore~Warning`Warning~Error`Error"",""RuleType"":"""",""Loaded"":0,""DevelopMode"":false,""RowMod"":""""}"
BROperations,Erp.BO.ACTTypeSvc/BROperations,200,Yes,"{""OperationUID"":3840949,""RuleUID"":220595,""ParentOperationUID"":3840970,""ControlFlowOperator"":"""",""Container"":""Credit Context"",""Formula"":""<QualifierName1 datatype=\""String\"" Owner=\""GLControl--F--AP Transactions\"" condition=\""positive\"" required=\""IsSet\"">Balance Context</QualifierName1>"",""SequenceNumber"":0,""ChildSequenceNumber"":5,""FunctionUID"":102,""PRGText"":""<QualifierName1 datatype=\""String\"" Owner=\""GLControl--F--AP Transactions\"" condition=\""positive\"" required=\""True\"">String(&lt;VarName&gt;u_Balance Context&lt;/VarName&gt;)</QualifierName1>"",""ACTRevisionUID"":16471,""ACTTypeUID"":257,""Company"":""157803"",""PRGContainer"":""&lt;VarName&gt;Credit Context&lt;/VarName&gt; = #FUNCTION#."",""BookID"":""MAIN"",""IsDefault"":true,""LocModified"":false,""SysRevID"":104567883,""SysRowID"":""0346a34e-74bc-4284-8948-79683efb2fd1"",""ContainerType"":""Credit Context###QualifierName"",""DevelopMode"":false,""Loaded"":0,""ErrorText"":"""",""IsError"":false,""LLink01"":"""",""IsLogicalCondition"":false,""BitFlag"":0,""RowMod"":""""}"
BROperationCustoms,Erp.BO.ACTTypeSvc/BROperationCustoms,200,No,
BRFunctions,Erp.BO.ACTTypeSvc/BRFunctions,200,Yes,"{""FunctionUID"":44345,""Name"":""Amount Is Negative"",""PRGName"":""Amount_Is_Negative"",""IsSystem"":false,""Description"":""Checks if amount is negative"",""ResultType"":""Logical"",""PRGPattern"":""Amount_Is_Negative(<Amount0>Amount</Amount0>)"",""ACTRevisionUID"":16471,""ACTTypeUID"":257,""BookID"":""MAIN"",""Formula"":""<Amount0>Amount</Amount0> Is Negative"",""Company"":""157803"",""DocLinePath"":"""",""IsDefault"":true,""ManuallyUpdVer"":false,""FuncVer"":3,""PatchFuncVer"":0,""PrevModified"":false,""Modified"":false,""LocVer"":0,""LocPatchVer"":0,""LocModified"":false,""SysRevID"":104567818,""SysRowID"":""bc39cc1c-4081-427e-bc89-dbc386ca5cac"",""Loaded"":0,""DevelopMode"":false,""IsError"":false,""ErrorText"":"""",""BitFlag"":0,""RowMod"":""""}"
BookVars,Erp.BO.ACTTypeSvc/BookVars,200,Yes,"{""ACTTypeUID"":257,""ACTRevisionUID"":16471,""BookID"":""MAIN"",""BookVarUID"":241161,""VarName"":""Invoice Balance Account"",""VarType"":""Account--MAIN"",""vType"":""Rule"",""vUID"":220595,""Company"":""157803"",""IsDefault"":true,""LocModified"":false,""SysRevID"":104567850,""SysRowID"":""43975fa1-4411-484f-bbf4-505a5d901e93"",""DevelopMode"":false,""isSystem"":false,""Loaded"":0,""OwnerDescription"":"""",""VarTypeDisplay"":""Account.MAIN"",""BitFlag"":0,""RowMod"":""""}"
BRFuncArgs,Erp.BO.ACTTypeSvc/BRFuncArgs,Request failed with status code 500,,
BRFuncOperations,Erp.BO.ACTTypeSvc/BRFuncOperations,Request failed with status code 500,,
List,Erp.BO.ACTTypeSvc/List,200,Yes,"{""ACTTypeUID"":257,""DisplayName"":""AP Adjustment"",""Company"":""157803"",""DetailedDescription"":""AP Invoice Adjustment"",""Limited"":false,""SysRevID"":76684586,""SysRowID"":""c724cf24-8183-4bde-bb8e-5d778357ffb9"",""RowMod"":""""}"
ActualCostAllocationWorkbenches,Erp.BO.ActualCostAllocationWorkbenchSvc/ActualCostAllocationWorkbenches,Request failed with status code 400,,
List,Erp.BO.ActualCostAllocationWorkbenchSvc/List,Request failed with status code 400,,
ActualCostingCategories,Erp.BO.ActualCostingCategorySvc/ActualCostingCategories,Request failed with status code 400,,
ActualCostingGLAccountGroups,Erp.BO.ActualCostingCategorySvc/ActualCostingGLAccountGroups,Request failed with status code 400,,
ActualCostingGLAccountLists,Erp.BO.ActualCostingCategorySvc/ActualCostingGLAccountLists,Request failed with status code 400,,
List,Erp.BO.ActualCostingCategorySvc/List,Request failed with status code 400,,
Adjustment1099s,Erp.BO.Adjustment1099Svc/Adjustment1099s,200,No,
List,Erp.BO.Adjustment1099Svc/List,200,No,
AGAFIPCommDocTypes,Erp.BO.AGAFIPCommDocTypeSvc/AGAFIPCommDocTypes,Request failed with status code 400,,
List,Erp.BO.AGAFIPCommDocTypeSvc/List,Request failed with status code 400,,
AGAFIPResponsibilities,Erp.BO.AGAFIPResponsibilitySvc/AGAFIPResponsibilities,Request failed with status code 400,,
List,Erp.BO.AGAFIPResponsibilitySvc/List,Request failed with status code 400,,
AGCAEAs,Erp.BO.AGCAEASvc/AGCAEAs,Request failed with status code 400,,
AGCAEASubmitResults,Erp.BO.AGCAEASvc/AGCAEASubmitResults,Request failed with status code 400,,
List,Erp.BO.AGCAEASvc/List,Request failed with status code 400,,
AGCustoms,Erp.BO.AGCustomsSvc/AGCustoms,Request failed with status code 400,,
List,Erp.BO.AGCustomsSvc/List,Request failed with status code 400,,
AGDestinations,Erp.BO.AGDestinationSvc/AGDestinations,Request failed with status code 400,,
List,Erp.BO.AGDestinationSvc/List,Request failed with status code 400,,
AGEmissionPoints,Erp.BO.AGEmissionPointSvc/AGEmissionPoints,Request failed with status code 400,,
AGCAICodes,Erp.BO.AGEmissionPointSvc/AGCAICodes,Request failed with status code 400,,
List,Erp.BO.AGEmissionPointSvc/List,Request failed with status code 400,,
AGIDDocTypes,Erp.BO.AGIDDocTypeSvc/AGIDDocTypes,Request failed with status code 400,,
List,Erp.BO.AGIDDocTypeSvc/List,Request failed with status code 400,,
AgingCredits,Erp.BO.AgingCreditSvc/AgingCredits,200,No,
List,Erp.BO.AgingCreditSvc/List,200,No,
AgingRptFmts,Erp.BO.AgingRptFmtSvc/AgingRptFmts,200,Yes,"{""FmtCode"":"">180"",""Description"":""Greater Than 180 days"",""DefaultFmt"":false,""Company"":""157803"",""AgeDays2"":90,""AgeDays4"":150,""AgeDays5"":180,""AgeDays3"":120,""AgeDays1"":60,""AgeLabels2"":"">90"",""AgeLabels3"":"">120"",""AgeLabels4"":"">150"",""AgeLabels6"":""Current"",""AgeLabels5"":"">180"",""AgeLabels1"":"">60"",""SysRevID"":88546780,""SysRowID"":""add403c0-66b7-4df1-bfb3-bc74413bc575"",""APDefault"":false,""ARDefault"":false,""BitFlag"":0,""RowMod"":""""}"
List,Erp.BO.AgingRptFmtSvc/List,200,Yes,"{""FmtCode"":"">180"",""Description"":""Greater Than 180 days"",""DefaultFmt"":false,""Company"":""157803"",""AgeDays2"":90,""AgeDays4"":150,""AgeDays5"":180,""AgeDays3"":120,""AgeDays1"":60,""AgeLabels2"":"">90"",""AgeLabels3"":"">120"",""AgeLabels4"":"">150"",""AgeLabels6"":""Current"",""AgeLabels5"":"">180"",""AgeLabels1"":"">60"",""SysRevID"":88546780,""SysRowID"":""add403c0-66b7-4df1-bfb3-bc74413bc575"",""APDefault"":false,""ARDefault"":false,""RowMod"":""""}"
AGInvoicingPoints,Erp.BO.AGInvoicingPointSvc/AGInvoicingPoints,Request failed with status code 400,,
List,Erp.BO.AGInvoicingPointSvc/List,Request failed with status code 400,,
AGLocations,Erp.BO.AGLocationSvc/AGLocations,Request failed with status code 400,,
List,Erp.BO.AGLocationSvc/List,Request failed with status code 400,,
AGProvinces,Erp.BO.AGProvinceSvc/AGProvinces,Request failed with status code 400,,
List,Erp.BO.AGProvinceSvc/List,Request failed with status code 400,,
AGUserComps,Erp.BO.AGUserCompSvc/AGUserComps,Request failed with status code 400,,
List,Erp.BO.AGUserCompSvc/List,Request failed with status code 400,,
AGWebServiceConfigs,Erp.BO.AGWebServiceConfigSvc/AGWebServiceConfigs,Request failed with status code 400,,
List,Erp.BO.AGWebServiceConfigSvc/List,Request failed with status code 400,,
AlcBatchSchedSearches,Erp.BO.AlcBatchSchedSearchSvc/AlcBatchSchedSearches,200,No,
List,Erp.BO.AlcBatchSchedSearchSvc/List,200,No,
AlcHeds,Erp.BO.AlcHedSvc/AlcHeds,200,No,
AlcAccts,Erp.BO.AlcHedSvc/AlcAccts,200,No,
AlcAcctCats,Erp.BO.AlcHedSvc/AlcAcctCats,200,No,
AlcJrnCds,Erp.BO.AlcHedSvc/AlcJrnCds,200,No,
AlcParams,Erp.BO.AlcHedSvc/AlcParams,200,No,
AlcNFSrcs,Erp.BO.AlcHedSvc/AlcNFSrcs,200,No,
AlcParamsBAQs,Erp.BO.AlcHedSvc/AlcParamsBAQs,200,No,
AlcRanges,Erp.BO.AlcHedSvc/AlcRanges,200,No,
AlcTargets,Erp.BO.AlcHedSvc/AlcTargets,200,No,
List,Erp.BO.AlcHedSvc/List,200,No,
AlcHedTgtStampSearches,Erp.BO.AlcHedTgtStampSearchSvc/AlcHedTgtStampSearches,200,No,
List,Erp.BO.AlcHedTgtStampSearchSvc/List,200,No,
AlcHistories,Erp.BO.AlcHistorySvc/AlcHistories,200,No,
AHGLJrnDtls,Erp.BO.AlcHistorySvc/AHGLJrnDtls,200,No,
AlcHistResParams,Erp.BO.AlcHistorySvc/AlcHistResParams,Request failed with status code 500,,
AHGLJrnDtlSims,Erp.BO.AlcHistorySvc/AHGLJrnDtlSims,200,No,
AlcHistResParamsSims,Erp.BO.AlcHistorySvc/AlcHistResParamsSims,Request failed with status code 500,,
AlcHistAccts,Erp.BO.AlcHistorySvc/AlcHistAccts,200,No,
AlcHistActCats,Erp.BO.AlcHistorySvc/AlcHistActCats,200,No,
AlcHistDtls,Erp.BO.AlcHistorySvc/AlcHistDtls,200,No,
AlcHistJrnCds,Erp.BO.AlcHistorySvc/AlcHistJrnCds,200,No,
AlcHistParams,Erp.BO.AlcHistorySvc/AlcHistParams,200,No,
AlcHistParamsBAQs,Erp.BO.AlcHistorySvc/AlcHistParamsBAQs,200,No,
AlcHistNFSrcs,Erp.BO.AlcHistorySvc/AlcHistNFSrcs,200,No,
PAlcHistAccts,Erp.BO.AlcHistorySvc/PAlcHistAccts,200,No,
PAlcHistActCats,Erp.BO.AlcHistorySvc/PAlcHistActCats,200,No,
PAlcHistJrnCds,Erp.BO.AlcHistorySvc/PAlcHistJrnCds,200,No,
PAlcHistRanges,Erp.BO.AlcHistorySvc/PAlcHistRanges,200,No,
AlcHistRanges,Erp.BO.AlcHistorySvc/AlcHistRanges,200,No,
List,Erp.BO.AlcHistorySvc/List,200,No,
AlertGroups,Erp.BO.AlertGroupSvc/AlertGroups,200,No,
List,Erp.BO.AlertGroupSvc/List,200,No,
AlertLogs,Erp.BO.AlertLogSvc/AlertLogs,200,No,
List,Erp.BO.AlertLogSvc/List,200,No,
AllocBatches,Erp.BO.AllocBatchSvc/AllocBatches,200,No,
AlcBatchCDs,Erp.BO.AllocBatchSvc/AlcBatchCDs,200,No,
AlcBatchScheds,Erp.BO.AllocBatchSvc/AlcBatchScheds,200,No,
List,Erp.BO.AllocBatchSvc/List,200,No,
AlternateParts,Erp.BO.AlternatePartSvc/AlternateParts,200,Yes,"{""Company"":""157803"",""PartNum"":""ACCUFIT"",""SubPart"":""Clinical Training"",""RecType"":""C"",""SubType"":"""",""QtyPer"":1,""SalesUM"":""EA"",""Comment"":"""",""SysRevID"":76921751,""SysRowID"":""8492c519-00a3-40ee-a5de-ec29b093e21c"",""DefaultSub"":false,""Price"":0,""SuggestedQty"":0,""Selected"":false,""SugOrderQty"":0,""BitFlag"":0,""PartNumPricePerCode"":""E"",""PartNumTrackLots"":false,""PartNumPartDescription"":""Accufit"",""PartNumSalesUM"":""EA"",""PartNumIUM"":""EA"",""PartNumSellingFactor"":1,""PartNumTrackSerialNum"":true,""PartNumTrackDimension"":false,""SubPartSellingFactor"":1,""SubPartTrackSerialNum"":false,""SubPartTrackDimension"":false,""SubPartPartDescription"":""Clinical Training 1 day  (up to 8 hours max)"",""SubPartIUM"":""EA"",""SubPartSalesUM"":""EA"",""SubPartTrackLots"":false,""SubPartPricePerCode"":""E"",""RowMod"":""""}"
List,Erp.BO.AlternatePartSvc/List,200,Yes,"{""Company"":""157803"",""PartNum"":""ACCUFIT"",""SubPart"":""Clinical Training"",""RecType"":""C"",""SubType"":"""",""QtyPer"":1,""SalesUM"":""EA"",""Comment"":"""",""SysRevID"":76921751,""SysRowID"":""8492c519-00a3-40ee-a5de-ec29b093e21c"",""DefaultSub"":false,""Price"":0,""SuggestedQty"":0,""Selected"":false,""PartNumPricePerCode"":"""",""PartNumTrackDimension"":false,""PartNumIUM"":"""",""PartNumSalesUM"":"""",""PartNumTrackLots"":false,""PartNumPartDescription"":"""",""PartNumSellingFactor"":0,""PartNumTrackSerialNum"":false,""SubPartPartDescription"":"""",""SubPartSellingFactor"":0,""SubPartTrackSerialNum"":false,""SubPartPricePerCode"":"""",""SubPartTrackDimension"":false,""SubPartIUM"":"""",""SubPartSalesUM"":"""",""SubPartTrackLots"":false,""RowMod"":""""}"
AnalysisCodes,Erp.BO.AnalysisCodeSvc/AnalysisCodes,200,No,
AnalysisCdAttches,Erp.BO.AnalysisCodeSvc/AnalysisCdAttches,200,No,
List,Erp.BO.AnalysisCodeSvc/List,200,No,
APAdjustments,Erp.BO.APAdjustmentSvc/APAdjustments,200,Yes,"{""Company"":""157803"",""OpenPayable"":false,""VendorNum"":2,""InvoiceNum"":""63122"",""DebitMemo"":false,""InvoiceDate"":""2022-06-27T00:00:00-05:00"",""DueDate"":""2022-07-27T00:00:00-05:00"",""Posted"":true,""InvoiceAmt"":10000,""DocInvoiceAmt"":10000,""InvoiceBal"":0,""DocInvoiceBal"":0,""UnpostedBal"":0,""DocUnpostedBal"":0,""InvoiceHeld"":false,""Description"":"""",""CurrencyCode"":""USD"",""ExchangeRate"":1,""LockRate"":false,""LegalNumber"":"""",""Rpt1InvoiceAmt"":0,""Rpt2InvoiceAmt"":0,""Rpt3InvoiceAmt"":0,""Rpt1InvoiceBal"":0,""Rpt2InvoiceBal"":0,""Rpt3InvoiceBal"":0,""ApplyDate"":""2022-07-14T00:00:00-05:00"",""SysRowID"":""7df734e0-dd34-4d34-ad23-a59b3a46e30a"",""CurrencySwitch"":true,""BaseCurrSymbol"":"""",""IsLcked"":false,""RvnJrnUID"":0,""LockStatus"":"""",""BaseCurrencyID"":""USD"",""CorrectionInvNeg"":false,""CopyRate"":false,""BitFlag"":0,""CurrencyCurrencyID"":""USD"",""CurrencyDocumentDesc"":"""",""CurrencyCurrDesc"":""USD"",""CurrencyCurrName"":""USD"",""CurrencyCurrSymbol"":"""",""VendorNumCountry"":""USA"",""VendorNumAddress2"":"""",""VendorNumVendorID"":""V0001"",""VendorNumName"":""3D Executive Search Partners"",""VendorNumCity"":""Dallas"",""VendorNumCurrencyCode"":""USD"",""VendorNumZIP"":""75252"",""VendorNumAddress3"":"""",""VendorNumDefaultFOB"":"""",""VendorNumTermsCode"":""N30"",""VendorNumAddress1"":""17624 Windflower Way"",""VendorNumState"":""TX"",""RowMod"":""""}"
